[INFO] 2025-11-27 23:35:50,343 Run server
[INFO] 2025-11-27 23:36:10,418 Got request
[INFO] 2025-11-27 23:36:10,469 Sending response
[INFO] 2025-11-27 23:36:10,469 Delay 0.05075502395629883
[INFO] 2025-11-27 23:36:28,881 Got request
[INFO] 2025-11-27 23:36:28,902 Sending response
[INFO] 2025-11-27 23:36:28,902 Delay 0.020053625106811523
[INFO] 2025-11-27 23:55:11,640 Run server
[INFO] 2025-11-27 23:55:19,433 Got request
[INFO] 2025-11-27 23:55:19,528 Sending response
[INFO] 2025-11-27 23:55:19,528 Delay 0.0949409008026123
[INFO] 2025-11-27 23:55:23,771 Got request
[INFO] 2025-11-27 23:55:23,812 Sending response
[INFO] 2025-11-27 23:55:23,812 Delay 0.0402674674987793
[INFO] 2025-11-27 23:55:28,017 Got request
[INFO] 2025-11-27 23:55:28,022 Sending response
[INFO] 2025-11-27 23:55:28,022 Delay 0.004761219024658203
[INFO] 2025-11-27 23:55:28,027 Got request
[INFO] 2025-11-27 23:55:28,058 Sending response
[INFO] 2025-11-27 23:55:28,058 Delay 0.030205249786376953
[INFO] 2025-11-27 23:56:21,366 Got request
[INFO] 2025-11-27 23:56:21,390 Sending response
[INFO] 2025-11-27 23:56:21,390 Delay 0.02365255355834961
[INFO] 2025-11-27 23:58:40,995 Run server
[INFO] 2025-11-27 23:58:41,075 Got request
[INFO] 2025-11-27 23:58:41,105 Sending response
[INFO] 2025-11-27 23:58:41,105 Delay 0.030055999755859375
[INFO] 2025-11-27 23:58:42,166 Got request
[INFO] 2025-11-27 23:58:42,190 Sending response
[INFO] 2025-11-27 23:58:42,190 Delay 0.024546384811401367
[INFO] 2025-11-27 23:58:42,691 Got request
[INFO] 2025-11-27 23:58:42,714 Sending response
[INFO] 2025-11-27 23:58:42,714 Delay 0.02361917495727539
[INFO] 2025-11-27 23:58:42,872 Got request
[INFO] 2025-11-27 23:58:42,894 Sending response
[INFO] 2025-11-27 23:58:42,894 Delay 0.021677017211914062
[INFO] 2025-11-27 23:58:43,050 Got request
[INFO] 2025-11-27 23:58:43,075 Sending response
[INFO] 2025-11-27 23:58:43,075 Delay 0.024644136428833008
[INFO] 2025-11-27 23:59:43,498 Run server
[INFO] 2025-11-27 23:59:46,003 Got request
[INFO] 2025-11-27 23:59:46,054 Sending response
[INFO] 2025-11-27 23:59:46,054 Delay 0.0507960319519043
[INFO] 2025-11-27 23:59:52,670 Got request
[INFO] 2025-11-27 23:59:52,674 Sending response
[INFO] 2025-11-27 23:59:52,675 Delay 0.004633903503417969
[INFO] 2025-11-27 23:59:52,882 Got request
[INFO] 2025-11-27 23:59:52,893 Sending response
[INFO] 2025-11-27 23:59:52,893 Delay 0.01097869873046875
[INFO] 2025-11-28 00:00:32,458 Got request
[INFO] 2025-11-28 00:00:32,463 Sending response
[INFO] 2025-11-28 00:00:32,463 Delay 0.004692554473876953
[INFO] 2025-11-28 00:00:32,467 Got request
[INFO] 2025-11-28 00:00:32,468 Sending response
[INFO] 2025-11-28 00:00:32,469 Delay 0.0012156963348388672
[INFO] 2025-11-28 00:00:36,052 Got request
[INFO] 2025-11-28 00:00:36,056 Sending response
[INFO] 2025-11-28 00:00:36,057 Delay 0.004584789276123047
[INFO] 2025-11-28 00:00:43,954 Got request
[INFO] 2025-11-28 00:00:44,753 Sending response
[INFO] 2025-11-28 00:00:44,753 Delay 0.7985987663269043
[INFO] 2025-11-28 00:01:15,940 Got request
[INFO] 2025-11-28 00:01:15,941 Sending response
[INFO] 2025-11-28 00:01:15,941 Delay 0.0009593963623046875
[INFO] 2025-11-28 00:01:45,435 Got request
[INFO] 2025-11-28 00:01:45,436 Sending response
[INFO] 2025-11-28 00:01:45,436 Delay 0.0009839534759521484
[INFO] 2025-11-28 00:02:03,724 Got request
[INFO] 2025-11-28 00:02:03,729 Sending response
[INFO] 2025-11-28 00:02:03,729 Delay 0.005018711090087891
[INFO] 2025-11-28 00:02:14,558 Got request
[INFO] 2025-11-28 00:02:14,562 Sending response
[INFO] 2025-11-28 00:02:14,562 Delay 0.003374814987182617
[INFO] 2025-11-28 00:03:57,305 Got request
[INFO] 2025-11-28 00:03:58,035 Sending response
[INFO] 2025-11-28 00:03:58,035 Delay 0.7206189632415771
[INFO] 2025-11-28 00:04:23,101 Got request
[INFO] 2025-11-28 00:04:23,102 Sending response
[INFO] 2025-11-28 00:04:23,102 Delay 0.0009660720825195312
[INFO] 2025-11-28 00:05:28,253 Got request
[INFO] 2025-11-28 00:05:28,253 Sending response
[INFO] 2025-11-28 00:05:28,254 Delay 0.0007615089416503906
[INFO] 2025-11-28 00:05:39,462 Got request
[INFO] 2025-11-28 00:05:39,462 Sending response
[INFO] 2025-11-28 00:05:39,462 Delay 0.0005497932434082031
[INFO] 2025-11-28 00:07:43,919 Got request
[INFO] 2025-11-28 00:07:44,637 Sending response
[INFO] 2025-11-28 00:07:44,638 Delay 0.7182626724243164
[INFO] 2025-11-28 00:09:16,715 Got request
[INFO] 2025-11-28 00:09:16,725 Sending response
[INFO] 2025-11-28 00:09:16,725 Delay 0.010094881057739258
[INFO] 2025-11-28 00:09:46,812 Got request
[INFO] 2025-11-28 00:09:46,815 Sending response
[INFO] 2025-11-28 00:09:46,815 Delay 0.0033888816833496094
[INFO] 2025-11-28 00:09:46,991 Got request
[INFO] 2025-11-28 00:09:47,000 Sending response
[INFO] 2025-11-28 00:09:47,000 Delay 0.009056568145751953
[INFO] 2025-11-28 00:11:21,810 Got request
[INFO] 2025-11-28 00:11:21,812 Sending response
[INFO] 2025-11-28 00:11:21,813 Delay 0.002054452896118164
[INFO] 2025-11-28 00:11:21,921 Got request
[INFO] 2025-11-28 00:11:21,929 Sending response
[INFO] 2025-11-28 00:11:21,929 Delay 0.008480310440063477
[INFO] 2025-11-28 00:14:03,722 Run server
[INFO] 2025-11-28 00:14:11,239 Run server
[INFO] 2025-11-28 00:15:23,902 Run server
[INFO] 2025-11-28 00:15:35,718 Run server
[INFO] 2025-11-28 00:15:39,015 Run server
[INFO] 2025-11-28 00:15:59,137 Run server
[INFO] 2025-11-28 00:16:09,160 Run server
[INFO] 2025-11-28 00:16:26,349 Run server
[INFO] 2025-11-28 00:16:28,763 Run server
[INFO] 2025-11-28 00:16:32,435 Got request
[INFO] 2025-11-28 00:16:32,557 Sending response
[INFO] 2025-11-28 00:16:32,557 Delay 0.12207317352294922
[INFO] 2025-11-28 00:16:38,647 Got request
[INFO] 2025-11-28 00:16:38,654 Sending response
[INFO] 2025-11-28 00:16:38,654 Delay 0.004694461822509766
[INFO] 2025-11-28 00:16:38,855 Got request
[INFO] 2025-11-28 00:16:38,872 Sending response
[INFO] 2025-11-28 00:16:38,873 Delay 0.017752885818481445
